developer,id,release_date,title,Action,Adventure,Casual,Education,Indie,RPG,Racing,Simulation,Sports,Strategy,year
"KOEI TECMO GAMES CO., LTD.",331600,2015-08-27,One Piece Pirate Warriors 3,1,0,0,0,0,0,0,0,0,0,2015
Alawar Stargaze,394680,2011-12-24,Mountain Crime: Requital,0,1,1,0,0,0,0,0,0,0,2011
Decaying Logic,315330,2015-08-28,All Guns On Deck,1,1,1,0,1,1,0,1,0,1,2015
Ubisoft - San Francisco,369815,2015-09-01,"Rocksmith® 2014 – Earth, Wind &amp; Fire Song Pack",0,0,1,0,0,0,0,1,0,0,2015
Rain Pohlak,398440,2015-08-27,Stones of Sorrow Demo,1,0,0,0,1,1,0,0,0,0,2015
Puny Human,395290,2015-08-27,Galacide Art Book,1,0,0,0,1,0,0,0,0,0,2015
Risen Phoenix Studios,361160,2015-08-31,Steamalot: Epoch's Journey,0,0,0,0,0,0,0,0,0,1,2015
From Soy Sauce LLC,399100,2015-08-29,Spheroid,1,0,0,0,1,0,0,0,0,0,2015
FNGames,398450,2013-10-03,Absent,0,1,0,0,0,0,0,0,0,0,2013
Urbanscan,399180,2015-08-31,Actua Golf 3,0,0,0,0,0,0,0,0,1,0,2015
Yanim Studio,322440,2015-09-01,Red Goddess: Inner World,1,1,0,0,1,0,0,0,0,0,2015
Star Vault AB,287920,2015-08-31,Mortal Online,1,0,0,0,1,1,0,0,0,0,2015
Magnetic Realms,382130,2015-08-31,Exile's End,1,0,0,0,0,0,0,0,0,0,2015
"Avalanche Studios,Feral Interactive (Mac/Linux)",234140,2015-09-01,Mad Max,1,1,0,0,0,0,0,0,0,0,2015
Kimmo Lahtinen,394030,2015-08-31,Trigonarium,1,0,0,0,1,0,0,0,0,0,2015
CoaguCo Industries,388490,2015-09-01,One Way To Die: Steam Edition,0,1,0,0,0,0,0,0,0,0,2015
LifeSpark Entertainment,378080,2015-09-01,Rack N Ruin,1,1,0,0,1,1,0,0,0,0,2015
WTFOMGames,399090,2014-08-08,It's time to get out from the solar system,1,1,1,0,1,1,0,0,0,0,2014
Lucas Molina,384550,2015-09-01,Painters Guild,0,0,1,0,1,0,0,1,0,1,2015
FiolaSoft Studio,395510,2015-09-01,BLACKHOLE Demo,1,1,0,0,1,0,0,0,0,0,2015
"KOEI TECMO GAMES CO., LTD.",392470,2015-09-01,NOBUNAGA'S AMBITION: Sphere of Influence,0,0,0,0,0,0,0,0,0,1,2015
Konami Digital Entertainment,287700,2015-09-01,METAL GEAR SOLID V: THE PHANTOM PAIN,1,1,0,0,0,0,0,0,0,0,2015
Funktronic Labs,393400,2015-08-25,Nova-111: Original Soundtrack,1,1,0,0,1,0,0,0,0,1,2015
Daniel Spruce,388970,2015-09-01,iZBOT,1,0,0,0,1,0,0,0,0,0,2015
"Jurlo,JetPackGone",398600,2015-09-01,Stray Cat Crossing Demo,0,1,0,0,1,0,0,0,0,0,2015
"Magnetic Realms,Bravewave",397000,2015-09-01,Exile's End - Original Soundtrack by Keiji Yamagishi,1,0,0,0,0,0,0,0,0,0,2015
Trav Nash,399520,2015-09-02,Comedy Quest,0,1,1,0,1,0,0,0,0,0,2015
Abbey Games,296970,2015-09-02,Renowned Explorers: International Society,0,1,0,0,1,1,0,0,0,1,2015
WakeskaterX,374210,2015-06-01,SBX: Invasion Demo,0,0,0,0,1,0,0,0,0,1,2015
Wareberd,371210,2015-09-07,Gridberd,1,1,0,0,1,0,0,0,0,0,2015
Team Kryll,365870,2015-09-07,Below Kryll,1,1,0,0,1,1,0,0,0,0,2015
Hi-Rez Studios,387440,2015-09-08,SMITE® - Ultimate God Pack,1,0,0,0,0,0,0,0,0,0,2015
Hi-Rez Studios,386360,2015-09-08,SMITE®,1,0,0,0,0,0,0,0,0,0,2015
TURBOGUN,331190,2015-09-08,Master Spy,1,0,0,0,1,0,0,0,0,0,2015
"KOEI TECMO GAMES CO., LTD.",378504,2015-09-08,One Piece Pirate Warriors 3 DLC Pack 1,1,0,0,0,0,0,0,0,0,0,2015
Michael Flynn,401490,2015-09-08,STAR-BOX - 'Galaxy Pet Store',1,1,1,0,1,1,0,1,0,0,2015
1337 &amp; Senri AB,355630,2015-09-08,Leo’s Fortune - HD Edition,0,1,0,0,1,0,0,0,0,0,2015
Ubisoft - San Francisco,369817,2015-09-08,Rocksmith® 2014 – The All-American Rejects - “Move Along”,0,0,1,0,0,0,0,1,0,0,2015
Ubisoft - San Francisco,369816,2015-09-08,Rocksmith® 2014 – The All-American Rejects - “Dirty Little Secret”,0,0,1,0,0,0,0,1,0,0,2015
Polygon Art,324270,2015-09-08,Revenge: Rhobar's myth,0,1,0,0,1,0,0,0,0,0,2015
Star Gem Inc.,397121,2015-09-08,Star Conflict: Fleet Strength - Razor,1,0,0,0,0,0,0,1,0,0,2015
Star Gem Inc.,397122,2015-09-08,Star Conflict: Fleet Strength - Blood Tormentor,1,0,0,0,0,0,0,1,0,0,2015
Nuligine,400500,2015-09-04,MadOut Ice Storm,1,0,0,0,1,0,1,1,0,0,2015
CoaguCo Industries,399840,2015-09-07,One Way To Die: Deluxe Edition,0,1,0,0,0,0,0,0,0,0,2015
EasyAntiCheat Ltd,282660,2006-09-19,EasyAntiCheat eSports,0,0,0,0,0,0,0,0,0,0,2006
Witching Hour Studios,365480,2015-09-10,Ravenmark: Scourge of Estellion,0,0,0,0,0,1,0,0,0,1,2015
Mandlebar,384040,2015-09-09,Impulse Revolution,0,0,1,0,1,0,1,0,0,0,2015
Realmforge Studios,390180,2015-09-10,Dungeons 2 - A Song of Sand and Fire,0,0,0,0,0,1,0,1,0,1,2015
"Tendershoot,A Jolly Corpse",274350,2015-09-10,Dropsy,0,1,0,0,1,0,0,0,0,0,2015
Stardock Entertainment,395990,2015-09-10,Galactic Civilizations III - Revenge of the Snathi DLC,0,0,0,0,1,0,0,0,0,1,2015
OVERKILL - a Starbreeze Studio.,401650,2015-09-10,PAYDAY 2: Gage Chivalry Pack,1,0,0,0,0,1,0,0,0,0,2015
Mini IT,394480,2008-07-15,Ringies,0,0,1,0,0,0,0,0,0,0,2008
49 Games,374090,2007-01-01,Winter Sports Trilogy Super Pack,1,0,0,0,0,0,0,1,1,0,2007
Wild Sphere,347080,2015-09-10,Naught Reawakening,1,1,0,0,0,0,0,0,0,0,2015
Brave Giant LTD,390200,2015-09-10,Queen's Quest: Tower of Darkness,0,1,1,0,0,0,0,0,0,0,2015
Verto Studio LLC,401780,2015-09-08,Driveby Gangster,1,0,0,0,1,0,0,0,0,0,2015
Robby Duguay,401580,2015-09-10,Fate Tectonics - OST,0,0,0,0,1,0,0,1,0,1,2015
Spilt Milk Studios,394720,2015-09-11,The Legend of Tango,0,1,0,0,1,1,0,0,0,0,2015
IceGames Studios,398210,2014-07-01,BlackShadows,0,1,0,0,1,0,0,0,0,0,2014
ENKSoft,397240,2015-09-11,Troubles Land,1,1,0,0,1,0,0,0,0,0,2015
tobyfox,391540,2015-09-15,Undertale,0,0,0,0,1,1,0,0,0,0,2015
Creative Assembly,343463,2015-09-15,Total War: ATTILA - Empires of Sand Culture Pack,0,0,0,0,0,0,0,0,0,1,2015
tobyfox,391570,2015-09-15,UNDERTALE Soundtrack,0,0,0,0,1,1,0,0,0,0,2015
"Jackbox Games, Inc.",359570,2015-09-15,Quip Pack 1,0,0,1,0,1,0,0,0,0,1,2015
Sleepy Studios,375290,2015-09-15,Superstatic,1,0,0,0,1,0,0,0,0,0,2015
Sleepy Studios,380640,2015-09-15,Superstatic - Soundtrack,1,0,0,0,1,0,0,0,0,0,2015
Paul Cooney,400220,2015-09-15,Bass Blocks,1,1,0,0,1,1,0,0,0,0,2015
Ubisoft - San Francisco,369821,2015-09-15,Rocksmith® 2014 – The Doors - “Break on Through (to the Other Side)”,0,0,1,0,0,0,0,1,0,0,2015
ektomarch,356580,2015-09-15,Aerannis,1,0,0,0,1,0,0,0,0,0,2015
Ubisoft - San Francisco,369822,2015-09-15,Rocksmith® 2014 – The Doors - “L.A. Woman”,0,0,1,0,0,0,0,1,0,0,2015
Skinny Jean Death Studios,403280,2015-09-15,Galagan's Island: Reprymian Rising OST,1,0,1,0,1,0,0,0,0,0,2015
Ubisoft - San Francisco,369823,2015-09-15,Rocksmith® 2014 – The Doors Song Pack II,0,0,1,0,0,0,0,1,0,0,2015
Ubisoft - San Francisco,369820,2015-09-15,Rocksmith® 2014 – The Doors - “People Are Strange”,0,0,1,0,0,0,0,1,0,0,2015
PlazSoft,402950,2015-09-15,Yargis - Extra ships / Extra items,1,1,1,0,1,0,0,1,0,1,2015
Andrew Rowe,397870,2015-09-15,Arcane Sorcery,0,0,0,0,1,0,0,0,0,1,2015
Sometimes You,403550,2015-09-15,Energy Balance Soundtrack,0,0,1,0,1,0,0,0,0,0,2015
"WarGirl Games,Seycara Music and Arts",397490,2015-09-16,Over The Hills And Far Away - Official Soundtrack,0,0,1,0,1,0,0,0,0,0,2015
Cellbloc Studios,372340,2015-09-15,SnarfQuest Tales,1,1,0,0,1,1,0,0,0,0,2015
WarGirl Games,396860,2015-09-16,Over The Hills And Far Away,0,0,1,0,1,0,0,0,0,0,2015
"Alexey Davydov,Sergey Dvoynikov,Timofey Shargorodskiy",353640,2015-09-16,Train Valley,0,0,1,0,1,0,0,1,0,1,2015
Hanako Games,400580,2015-09-16,Black Closet,0,0,0,0,1,1,0,1,0,1,2015
Pixel Blitz Studios,403440,2015-09-16,Evil Hazard,1,0,0,0,1,1,0,0,0,0,2015
"Rafael Barreto,MacKenzie Kaser",391120,2015-09-18,The Archetype,0,1,0,0,0,0,0,0,0,0,2015
Urbanscan,393290,1998-09-30,Motorhead,0,0,0,0,0,0,1,0,0,0,1998
Meteor Shock,384660,2015-09-16,RED Fuse: Rolling Explosive Device,0,0,0,0,1,0,0,0,0,1,2015
Harrison Walters,403010,2015-09-16,The Ultimate Showdown,1,0,0,0,1,0,0,1,0,0,2015
Cats Who Play,380020,2015-09-16,Three Heroes,1,1,0,0,1,0,0,0,0,0,2015
Deck13,373240,2015-09-17,Black Sails - The Ghost Ship,0,1,0,0,0,0,0,0,0,0,2015
Racing Bros,401190,2015-09-17,Dinosaur Hunt,1,1,0,0,1,0,0,1,0,0,2015
SRF Games,382270,2015-09-17,Space Xonix,0,0,1,0,1,0,0,0,0,0,2015
Shenandoah Studio,365560,2015-09-17,Battle of the Bulge,0,0,0,0,0,0,0,0,0,1,2015
Anvil-Soft,390220,2000-03-01,Toilet Tycoon,0,0,0,0,1,0,0,1,0,0,2000
Dovetail Games,24010,2009-07-12,Train Simulator,0,0,0,0,0,0,0,1,0,0,2009
Warballoon,402160,2015-09-17,Star Command Galaxies,0,0,0,0,1,0,0,1,0,1,2015
"Fernando Ramallo,David Kanaga",284260,2015-09-17,PANORAMICAL,0,0,0,0,1,0,0,0,0,0,2015
Handyman Studios,238240,2015-09-17,Edge of Space,1,1,0,0,1,1,0,0,0,0,2015
Pigasus Games,300280,2015-09-17,Adventurezator: When Pigs Fly,0,1,0,0,1,0,0,0,0,0,2015
PiGravity,403900,2015-09-17,Clergy Splode,1,0,0,0,1,0,0,0,0,0,2015
Fancy Fish Games,395450,2015-09-17,I Can't Escape: Darkness Original Soundtrack,0,1,0,0,1,0,0,0,0,0,2015
Fancy Fish Games,346090,2015-09-17,I Can't Escape: Darkness,0,1,0,0,1,0,0,0,0,0,2015
The Future Of Videogames,338760,2015-09-17,Death Ray Manta SE,1,0,0,0,1,0,0,0,0,0,2015
Days of Wonder,376680,2015-09-17,Splendor,0,0,1,0,0,0,0,0,0,1,2015
Krome Studios,287840,2015-09-17,TY the Tasmanian Tiger 4,1,1,0,0,1,0,0,0,0,0,2015
Krome Studios,400720,2015-09-17,TY the Tasmanian Tiger 4 - The Art of,1,1,0,0,1,0,0,0,0,0,2015
N2Games,362070,2015-09-16,Metal Reaper Online,0,0,0,0,0,0,0,0,0,0,2015
Krome Studios,400721,2015-09-17,TY the Tasmanian Tiger 4 - The Soundtrack Collection,1,1,0,0,1,0,0,0,0,0,2015
Confused Genius,400120,2015-09-18,Xenocide Soundtrack,1,0,0,0,1,0,0,0,0,0,2015
Yeah Us!,392070,2015-09-18,Pumped BMX +,0,0,0,0,1,0,0,0,1,0,2015
"Multi-Dimensional Games (Studio of ThoughtSTEM, LLC)",324190,2015-09-18,CodeSpells,1,1,0,0,1,0,0,1,0,0,2015
PatchNoteStudio,397580,2015-05-20,Moonbase 332,1,0,0,0,1,0,0,0,0,0,2015
Yeah Us!,403140,2015-09-18,Pumped BMX + - Official Soundtrack,0,0,0,0,1,0,0,0,1,0,2015
Big Fat Simulations Inc.,402210,2015-09-18,Airport Madness: Time Machine,0,1,0,0,0,0,0,0,0,0,2015
Photon Arena,344820,2015-09-18,Forsaken Fortress Strategy,0,0,0,0,1,1,0,1,0,1,2015
Nick Howard,387110,2015-09-18,Shmup Love Boom,1,0,1,0,1,0,0,0,0,0,2015
ComiPo! LLP,297142,2015-09-18,ComiPo!: Work &amp; Training Wear,0,0,0,0,0,0,0,0,0,0,2015
Ubisoft - San Francisco,369826,2015-09-22,Rocksmith® 2014 – Breaking Benjamin - “Blow Me Away (ft. Valora)”,0,0,1,0,0,0,0,1,0,0,2015
Ubisoft - San Francisco,369825,2015-09-22,Rocksmith® 2014 – Breaking Benjamin - “Polyamorous”,0,0,1,0,0,0,0,1,0,0,2015
Lantana Games,392780,2015-09-21,Mondrian - Abstraction in Beauty,0,0,1,0,1,0,0,0,0,0,2015
Lantana Games,392810,2015-09-21,Mondrian - Abstraction in Beauty: Original Game Soundtrack,0,0,1,0,1,0,0,0,0,0,2015
Adventurous Productions,399270,2015-09-21,Quick Slick Deadly,1,0,0,0,1,1,0,0,0,0,2015
Ironward,403910,2015-09-21,The Red Solstice Soundtrack,1,0,0,0,1,1,0,0,0,1,2015
Phoenix Game and Publisher Studio,391520,2015-09-21,Labyrinth Simulator,0,0,0,0,1,0,0,1,0,0,2015
Alex Zhang,403740,2015-09-17,GabeN: The Final Decision,0,0,1,0,0,1,0,0,0,0,2015
WRF Studios,280600,2015-09-21,BloodLust Shadowhunter,1,0,0,0,1,1,0,0,0,0,2015
THE BROTHERHOOD,398860,2015-09-21,STASIS Deluxe Edition Upgrade,0,1,0,0,0,0,0,0,0,0,2015
"Offworld Games, LLC",395190,2015-09-21,Reiner Knizia's The Confrontation,0,0,0,0,0,0,0,0,0,1,2015
Trese Brothers,370020,2015-09-21,Templar Battleforce,1,0,0,0,1,1,0,0,0,1,2015
Jayanam,392690,2015-09-21,Erwin's Timewarp,0,1,0,0,1,0,0,0,0,1,2015
Frictional Games,282140,2015-09-21,SOMA,1,1,0,0,1,0,0,0,0,0,2015
Choice Provisions,323040,2015-09-22,Laserlife,0,0,0,0,1,0,0,0,0,0,2015
"World Loom,House of Fables",394280,2015-09-24,Dark Heritage: Guardians of Hope,0,1,1,0,0,0,0,0,0,0,2015
"Milan Kazarka,Jeroen van Oosten",401200,2015-09-24,Invisible Apartment 2,0,1,0,0,1,0,0,0,0,0,2015
Fabian Jarrett,397990,2015-09-22,Woof Blaster,1,0,0,0,1,0,0,0,0,0,2015
JoyBits Ltd.,348360,2015-09-24,Doodle God,0,0,1,0,1,0,0,1,0,0,2015
Epic LLama,366100,2015-08-24,Champions Of Chaos 2,0,0,1,0,1,1,0,0,0,1,2015
"JH12world,Jordan Benoit",375620,2015-09-06,CortexGear: AngryDroids,1,1,0,0,1,0,0,0,0,1,2015
The Foundry,401090,2015-09-24,MODO indie 10,0,0,0,0,0,0,0,0,0,0,2015
FIVE-BN GAMES,392950,2015-09-24,Lost Lands: A Hidden Object Adventure,0,1,1,0,0,0,0,0,0,0,2015
Sapphire Dragon Productions,405940,2015-09-24,Silver Creek Falls - Chapter 1 Soundtrack,0,1,0,0,1,0,0,0,0,0,2015
Free Reign Entertainment,349700,2015-09-24,Romero's Aftermath,1,0,0,0,1,0,0,0,0,0,2015
Casual Labs,401220,2015-09-24,Paint it Back Demo,0,0,1,0,0,0,0,0,0,0,2015
Nacho Games,349580,2015-09-24,Burstfire,1,0,0,0,1,0,0,0,0,0,2015
Mad Goblin Games,368970,2015-09-24,Haywire on Fuel Station Zeta,0,1,0,0,1,0,0,0,0,0,2015
JDRumble,388660,2015-09-25,Project Tarvotan,0,0,0,0,1,0,0,1,0,1,2015
TEAM TANDS PLUS,363650,2015-09-15,Hacker's Beat,0,0,1,0,1,0,0,0,0,0,2015
BTNcafe,387870,2015-09-25,Mold on Pizza 🍕,1,0,1,0,1,0,0,0,0,1,2015
Wytchlight,402670,2015-09-25,Space Thinger,1,0,0,0,1,0,0,1,0,0,2015
"INTI CREATES CO., LTD.",394600,2015-09-29,Mighty Gunvolt,1,0,0,0,1,0,0,0,0,0,2015
Amund Farifteh,392730,2015-01-20,The Bizarre Creations of Keith the Magnificent,0,1,0,0,1,0,0,0,0,0,2015
Juicy Beast,342920,2015-09-29,Toto Temple Deluxe,1,0,1,0,1,0,0,0,0,0,2015
Aratog LLC,385530,2015-09-29,Астролорды: Облако Оорта,0,0,0,0,1,0,0,0,0,1,2015
Thunder Lotus Games,323580,2015-09-29,Jotun: Valhalla Edition,1,1,0,0,1,0,0,0,0,0,2015
Max LL,406470,2015-09-29,Jotun: Original Soundtrack,1,1,0,0,1,0,0,0,0,0,2015
Limbic Entertainment,321960,2015-09-29,Might &amp; Magic® Heroes® VII,0,0,0,0,0,1,0,0,0,1,2015
Fun Infused Games,354040,2015-09-29,Hypership Out of Control,1,0,1,0,1,0,1,0,0,0,2015
Adhoc Games,404760,2015-07-01,ZombieZoid - Zenith Demo,1,1,0,0,0,0,0,0,0,0,2015
A2A Simulations,379233,2015-09-29,FSX: Steam Edition - 3D Lights Redux Add-On,0,0,0,0,0,0,0,1,0,0,2015
A2A Simulations,379549,2015-09-29,FSX: Steam Edition - Heinkel He219 Uhu (Owl) Add-On,0,0,0,0,0,0,0,1,0,0,2015
Carlo D'Apostoli Projects,405070,2015-09-29,The Worm,0,0,1,0,1,0,0,0,0,0,2015
Ubisoft - San Francisco,369828,2015-09-29,Rocksmith® 2014 – Brand New - “The Quiet Things That No One Ever Knows”,0,0,1,0,0,0,0,1,0,0,2015
Pixeljam,248330,2015-09-29,Dino Run DX,1,0,0,0,1,0,1,0,0,0,2015
Ubisoft - San Francisco,369829,2015-09-29,Rocksmith® 2014 – Brand New - “Sic Transit Gloria... Glory Fades”,0,0,1,0,0,0,0,1,0,0,2015
Ubisoft - San Francisco,390360,2015-09-29,"Rocksmith® 2014 – Brand New - “Okay I Believe You, But My Tommy Gun Don’t”",0,0,1,0,0,0,0,1,0,0,2015
Pencil Test Studios,334120,2015-09-30,Armikrog,0,1,0,0,1,0,0,0,0,0,2015
Triple Lasers,398250,2015-09-30,Moonstrider,1,1,0,0,1,0,0,0,0,0,2015
Zeiva Inc,400410,2010-09-16,OASE - Other Age Second Encounter,0,1,1,0,1,0,0,1,0,0,2010
SCS Software,388470,2015-09-30,Euro Truck Simulator 2 - Cabin Accessories,0,0,0,0,1,0,0,1,0,0,2015
Epic Devs LLC,383720,2015-09-30,Swords &amp; Crossbones: An Epic Pirate Story,0,1,0,0,0,1,0,1,0,1,2015
Space Cat Studios,403560,2015-09-20,Eaten Alive,0,0,0,0,1,0,0,0,0,0,2015
Dot Dream,344100,2015-09-30,Never Ending Night,1,1,1,0,1,1,0,0,0,0,2015
Snail-Ninja Studio,397940,2015-09-30,No Time To Live,0,1,1,0,1,0,0,1,0,0,2015
GameArt Studio GmbH,386540,2015-09-30,A.I. Invasion,1,0,0,0,1,0,0,1,0,1,2015
Team17 Digital Ltd,405450,2015-09-30,The Escapists: Walking Dead - Soundtrack,0,0,0,0,1,0,0,0,0,1,2015
Digital Concepts,370270,1993-12-10,Jim Power -The Lost Dimension,1,1,0,0,0,0,0,0,0,0,1993
"Team NINJA,KOEI TECMO GAMES CO., LTD.",403061,2015-09-30,Deception Costume Set,1,0,0,0,0,0,0,0,0,0,2015
"Team NINJA,KOEI TECMO GAMES CO., LTD.",403060,2015-09-30,Fighter Force Costume Set,1,0,0,0,0,0,0,0,0,0,2015
"Team NINJA,KOEI TECMO GAMES CO., LTD.",403062,2015-09-30,Costumes by Tamiki Wakaki Set,1,0,0,0,0,0,0,0,0,0,2015
"Chris Johnson,Chris Larkin",399780,2015-09-30,Expand,0,1,0,0,1,0,0,0,0,0,2015
"Team NINJA,KOEI TECMO GAMES CO., LTD.",403063,2015-09-30,Hot Summer Costume Set,1,0,0,0,0,0,0,0,0,0,2015
"Team NINJA,KOEI TECMO GAMES CO., LTD.",382870,2015-09-30,Falcom® Mashup Set,1,0,0,0,0,0,0,0,0,0,2015
Anvate Games,407400,2012-09-06,The Juicer - Free Official Soundtrack,1,0,0,0,1,0,0,0,0,0,2012
Vovoid Media Technologies AB,361600,2015-10-02,Luna Sky,1,1,0,0,1,0,0,0,0,0,2015
ShareX Team,400040,2007-10-15,ShareX,0,0,0,0,0,0,0,0,0,0,2007
Endless Loop Studios,399670,2015-10-02,Game Corp DX,0,0,0,0,1,0,0,1,0,0,2015
"David Lawrence,Nico Thomas",382070,2015-10-02,Neoncube,0,1,0,0,1,0,0,0,0,0,2015
Adhoc Games,406370,2015-10-02,ZombieZoid® Zenith Soundtrack,1,1,0,0,0,0,0,0,0,0,2015
Vovoid Media Technologies AB,403890,2015-10-02,Luna Sky - Soundtrack,1,1,0,0,0,0,0,0,0,0,2015
Anarchy Enterprises,406080,2015-10-02,Ant War: Domination,0,0,1,0,1,0,0,1,0,1,2015
Filimundus,395580,2015-10-05,Inventioneers,0,0,1,0,0,0,0,0,0,0,2015
McMagic Productions,386590,2015-10-05,Novus Inceptio,0,1,0,0,1,1,0,1,0,0,2015
Hammer Labs,309900,2015-10-05,Super Sky Arena,1,0,0,0,1,0,0,0,0,0,2015
Abnormal Software,351230,2015-10-05,Counter Spell,1,0,0,0,1,1,0,0,0,0,2015
"MidBoss, LLC.",407040,2015-10-05,2064: Read Only Memories Demo,0,1,0,0,1,0,0,0,0,0,2015
ByteRockers' Games,388600,2015-10-05,articy:draft 3 - Flex License,0,0,0,1,0,0,0,0,0,0,2015
Kittehface Software,401120,2015-10-05,Anode,1,0,1,0,1,0,0,0,0,0,2015
Cavelight Entertainment,395640,2015-10-05,Velocity Stream,0,0,0,0,0,0,1,0,0,0,2015
Abyss Studios,374680,2015-10-05,Tiki Galore,1,0,1,0,1,0,0,0,0,0,2015
Introversion Software,233450,2015-10-06,Prison Architect,0,0,0,0,1,0,0,1,0,1,2015
HandyGames,363960,2015-10-06,Devils &amp; Demons,0,0,0,0,0,1,0,0,0,1,2015
Hammer Labs,408210,2015-10-05,Super Sky Arena Original Soundtrack,1,0,0,0,1,0,0,0,0,0,2015
Ubisoft - San Francisco,390362,2015-10-06,Rocksmith® 2014 – Kenny Wayne Shepherd - “Blue on Black”,0,0,1,0,0,0,0,1,0,0,2015
Ubisoft - San Francisco,390363,2015-10-06,Rocksmith® 2014 – Joe Bonamassa - “Sloe Gin”,0,0,1,0,0,0,0,1,0,0,2015
Ubisoft - San Francisco,390364,2015-10-06,Rocksmith® 2014 – Philip Sayce - “Out of My Mind”,0,0,1,0,0,0,0,1,0,0,2015
Piranha Bytes Distribution UG&amp;Co KG,363020,2015-10-06,IPackThat,0,0,0,0,0,0,0,0,0,0,2015
Ubisoft - San Francisco,390365,2015-10-06,Rocksmith® 2014 – Blues Rock Song Pack,0,0,1,0,0,0,0,1,0,0,2015
Individual Software,393340,2014-09-01,Professor Teaches Photoshop Creative Cloud,0,0,0,0,0,0,0,0,0,0,2014
Crecatsoft,396450,2016-09-10,One-eyed Jak,1,0,1,0,1,0,0,0,0,0,2016
Alawar Entertainment,347610,2014-06-01,Hidden Object Bundle 4 in 1,0,0,1,0,0,0,0,0,0,0,2014
HiFi Technologies,364340,2015-10-07,FSX: Steam Edition - Active Sky Next Add-On,0,0,0,0,0,0,0,1,0,0,2015
A2A Simulations,379553,2015-10-07,FSX: Steam Edition - Albatros D.III (Oef) 253,0,0,0,0,0,0,0,1,0,0,2015
Dovetail Games,325970,2015-10-07,Train Simulator: North Jersey Coast Line Route Add-On,0,0,0,0,0,0,0,1,0,0,2015
"Sebastian Krzyszkowiak,Konrad Burandt,Paweł Radej",384171,2015-10-12,The Secret of Tremendous Corporation: DLC,0,1,1,0,1,0,0,0,0,0,2015
"Sebastian Krzyszkowiak,Kevin MacLeod,Jakub Marszałkowski,Michał Roszyk",384170,2015-10-12,The Soundtrack of Tremendous Corporation,0,1,1,0,1,0,0,0,0,0,2015
Soccer Manager Ltd,407140,2015-10-12,Soccer Manager 2016 VIP,0,0,0,0,0,0,0,0,1,1,2015
Nathan Meunier,404690,2015-10-09,This Book Is A Dungeon,0,1,0,0,1,0,0,0,0,0,2015
Oldblood,396310,2015-10-09,Masochisia,0,0,0,0,1,0,0,0,0,0,2015
Badland Development Studio,371450,2015-10-09,Awe,0,0,1,0,1,0,0,0,0,0,2015
Bit2Good Ug,398830,2015-10-09,Goggles - World of Vaporia,1,1,1,0,1,0,1,0,0,0,2015
Mechabit Ltd,352760,2015-10-09,Kaiju Panic,1,0,0,0,1,0,0,0,0,1,2015
"Gremlin Interactive,The Software Refinery",306350,1995-12-31,Slipstream 5000,1,0,0,0,0,0,1,0,1,0,1995
Gremlin Interactive,400370,1996-06-30,Normality,1,1,0,0,0,0,0,0,0,0,1996
Bit2Good Ug,405660,2015-10-09,Goggles - World of Vaporia - Soundtrack,1,1,0,0,1,0,1,0,0,0,2015
Aaron Arcand,354770,2015-10-09,Trigger Saint,0,1,0,0,1,1,0,0,0,0,2015
Whootgames,384010,2015-10-09,Castles,1,0,1,0,1,0,0,0,0,0,2015
Michael Lückgen,402680,2015-10-09,Return NULL - Episode 2,0,0,0,0,1,0,0,0,0,0,2015
Juri Schupilo,407150,2015-10-09,Trap Them - Sniper Edition,1,1,1,0,1,0,0,0,0,1,2015
Ubisoft - San Francisco,390367,2015-10-13,Rocksmith® 2014 – Kiss - “Strutter”,0,0,1,0,0,0,0,1,0,0,2015
Winter Drake Teller,409360,2015-08-14,Faron's Fate,1,0,0,0,1,1,0,0,0,0,2015
Casual Labs,385250,2015-10-14,Paint it Back,0,0,1,0,0,0,0,0,0,0,2015
Overflow,409630,2015-10-14,Rumble,1,0,0,0,1,0,0,0,0,0,2015
Dogenzaka Lab,381100,2015-10-15,The Men of Yoshiwara: Kikuya,0,1,0,0,0,0,0,0,0,0,2015
Moleworks,404810,2015-10-14,Escape from Puzzlegate,0,0,1,0,1,0,0,0,0,0,2015
Team Grybanser Fox,402030,2015-10-15,Zenohell,1,0,0,0,0,0,0,0,0,0,2015
Regal Computer Services,403490,2014-06-08,Lands of Hope Redemption,0,1,0,0,0,1,0,0,0,0,2014
Moppin,360740,2015-10-15,Downwell,1,1,0,0,1,0,0,0,0,0,2015
"Flashback Games,The Lordz Games Studio",389420,2015-10-15,Panzer Corps Sea Lion,0,0,0,0,0,0,0,0,0,1,2015
Untame,243160,2015-10-15,Mushroom 11,1,1,0,0,1,0,0,0,0,0,2015
"Untame,The Future Sound of London",408070,2015-10-15,Mushroom 11 Soundtrack - The Future Sound of London,1,1,0,0,1,0,0,0,0,0,2015
Free Lives,274190,2015-10-15,Broforce,1,1,1,0,1,0,0,0,0,0,2015
Realore,409130,2015-10-13,Demigods,0,1,1,0,0,0,0,1,0,0,2015
Free Lives,410790,2015-10-15,Broforce: The Soundtrack,1,1,1,0,1,0,0,0,0,0,2015
Winter Drake Teller,410260,2015-10-15,Faron's Fate - Original Soundtrack,1,0,0,0,1,1,0,0,0,0,2015
LUCKY GIRLS LIMITED,398840,2015-10-15,War of Beach,1,0,0,0,0,0,0,1,0,1,2015
